,X,Site,Longitude,Latitude,NPP_July2016,NPP_June2016,coords.x1,coords.x2,optional,EffectiveMooseDensitykm2
1,1,CA1001,-67.12621307,48.43013629,6.5,5.050000191,-67.12621307,48.43013629,TRUE,2
3,3,CA1002,-67.07181093,48.42094061,6.5,4.730000019,-67.07181093,48.42094061,TRUE,2
5,5,CA1003,-66.8543759,48.48069299,6.5,4.699999809,-66.8543759,48.48069299,TRUE,2
7,7,CA1104,-67.15962096,48.48158025,6.5,5.050000191,-67.15962096,48.48158025,TRUE,2
9,9,CA1105,-67.13531733,48.47505343,6.5,5.050000191,-67.13531733,48.47505343,TRUE,2
11,11,CH1001,-65.69394623,48.87296104,6.5,4.639999866,-65.69394623,48.87296104,TRUE,1.1
13,13,CH1002,-65.78745648,48.85870657,6.5,4.699999809,-65.78745648,48.85870657,TRUE,1.1
15,15,CH1003,-65.86005527,48.81585425,6.5,4.940000057,-65.86005527,48.81585425,TRUE,1.1
17,17,CH1104,-65.87387533,48.80688541,6.5,4.940000057,-65.87387533,48.80688541,TRUE,1.1
19,19,CH1105,-65.80020459,48.83851777,6.5,4.940000057,-65.80020459,48.83851777,TRUE,1.1
21,21,MA1001,-66.71374429,48.69743957,6.5,4.849999905,-66.71374429,48.69743957,TRUE,3.3
23,23,MA1002,-66.71693371,48.74696297,6.5,4.880000114,-66.71693371,48.74696297,TRUE,3.3
25,25,MA1003,-66.93104719,48.83018934,6.5,5.46999979,-66.93104719,48.83018934,TRUE,3.3
27,27,MA1104,-67.17933375,48.7052345,6.5,5.579999924,-67.17933375,48.7052345,TRUE,3.3
29,29,MA1105,-66.60944963,48.73192978,6.5,4.730000019,-66.60944963,48.73192978,TRUE,3.3
31,31,MA1106,-66.76765641,48.74237995,6.5,4.880000114,-66.76765641,48.74237995,TRUE,3.3
